Label,Code
Dark-eyed Junco (Slate-colored),Dark-eyed Junco (Slate-colored)
Dark-eyed Junco (Oregon),Dark-eyed Junco (Oregon)
White-crowned Sparrow,White-crowned Sparrow
White-crowned Sparrow (Dark-lored),White-crowned Sparrow (Dark-lored)
White-crowned Sparrow (Gambel's),White-crowned Sparrow (Gambel's)
White-crowned Sparrow (Yellow-billed),White-crowned Sparrow (Yellow-billed)
White-crowned Sparrow (pugetensis),White-crowned Sparrow (pugetensis)
Golden-crowned Sparrow,Golden-crowned Sparrow
White-throated Sparrow,White-throated Sparrow
Vesper Sparrow,Vesper Sparrow
Savannah Sparrow,Savannah Sparrow
Savannah Sparrow (Savannah),Savannah Sparrow (Savannah)
Savannah Sparrow (Belding's),Savannah Sparrow (Belding's)
Song Sparrow,Song Sparrow
Song Sparrow (heermanni Group),Song Sparrow (heermanni Group)
Lincoln's Sparrow,Lincoln's Sparrow
Swamp Sparrow,Swamp Sparrow
California Towhee,California Towhee
Rufous-crowned Sparrow,Rufous-crowned Sparrow
Spotted Towhee,Spotted Towhee
Spotted Towhee (oregonus Group),Spotted Towhee (oregonus Group)
new world sparrow sp.,new world sparrow sp.
Yellow-breasted Chat,Yellow-breasted Chat
Yellow-headed Blackbird,Yellow-headed Blackbird
Bobolink,Bobolink
Western Meadowlark,Western Meadowlark
Orchard Oriole,Orchard Oriole
Hooded Oriole,Hooded Oriole
Bullock's Oriole,Bullock's Oriole
Baltimore Oriole,Baltimore Oriole
Bullock's/Baltimore Oriole,Bullock's/Baltimore Oriole
new world oriole sp.,new world oriole sp.
Red-winged Blackbird,Red-winged Blackbird
Red-winged/Tricolored Blackbird,Red-winged/Tricolored Blackbird
Brown-headed Cowbird,Brown-headed Cowbird
Brewer's Blackbird,Brewer's Blackbird
Great-tailed Grackle,Great-tailed Grackle
blackbird sp.,blackbird sp.
Black-and-white Warbler,Black-and-white Warbler
Tennessee Warbler,Tennessee Warbler
Orange-crowned Warbler,Orange-crowned Warbler
Orange-crowned Warbler (Gray-headed),Orange-crowned Warbler (Gray-headed)
Orange-crowned Warbler (lutescens),Orange-crowned Warbler (lutescens)
Orange-crowned Warbler (sordida),Orange-crowned Warbler (sordida)
Lucy's Warbler,Lucy's Warbler
Nashville Warbler,Nashville Warbler
Nashville Warbler (ridgwayi),Nashville Warbler (ridgwayi)
MacGillivray's Warbler,MacGillivray's Warbler
Common Yellowthroat,Common Yellowthroat
American Redstart,American Redstart
Northern Yellow Warbler,Northern Yellow Warbler
Palm Warbler,Palm Warbler
Palm Warbler (Western),Palm Warbler (Western)
Yellow-rumped Warbler,Yellow-rumped Warbler
Yellow-rumped Warbler (Myrtle),Yellow-rumped Warbler (Myrtle)
Yellow-rumped Warbler (Audubon's),Yellow-rumped Warbler (Audubon's)
Yellow-rumped Warbler (Myrtle x Audubon's),Yellow-rumped Warbler (Myrtle x Audubon's)
Yellow-throated Warbler,Yellow-throated Warbler
Grace's Warbler,Grace's Warbler
Black-throated Gray Warbler,Black-throated Gray Warbler
Townsend's Warbler,Townsend's Warbler
Hermit Warbler,Hermit Warbler
Wilson's Warbler,Wilson's Warbler
Wilson's Warbler (chryseola),Wilson's Warbler (chryseola)
new world warbler sp.,new world warbler sp.
Western Tanager,Western Tanager
Black-headed Grosbeak,Black-headed Grosbeak
Blue Grosbeak,Blue Grosbeak
Lazuli Bunting,Lazuli Bunting
passerine sp.,passerine sp.
bird sp.,bird sp.
